INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 5500/150000, lr: 0.048639, eta: 3:38:45, time: 7.61, loss: 4.2762, loss_pre: 0.8283, loss_aux0: 0.9046, loss_aux1: 0.8772, loss_aux2: 0.8414, loss_aux3: 0.8246
INFO logger.py(47): iter: 5600/150000, lr: 0.048609, eta: 3:37:59, time: 7.65, loss: 4.3204, loss_pre: 0.8477, loss_aux0: 0.9128, loss_aux1: 0.8955, loss_aux2: 0.8505, loss_aux3: 0.8138
INFO logger.py(47): iter: 5700/150000, lr: 0.048579, eta: 3:37:14, time: 7.66, loss: 4.2345, loss_pre: 0.8299, loss_aux0: 0.8930, loss_aux1: 0.8657, loss_aux2: 0.8326, loss_aux3: 0.8133
INFO logger.py(47): iter: 5800/150000, lr: 0.048548, eta: 3:36:31, time: 7.66, loss: 4.3241, loss_pre: 0.8554, loss_aux0: 0.8853, loss_aux1: 0.8784, loss_aux2: 0.8655, loss_aux3: 0.8396
INFO logger.py(47): iter: 5900/150000, lr: 0.048518, eta: 3:35:50, time: 7.70, loss: 4.3230, loss_pre: 0.8647, loss_aux0: 0.9072, loss_aux1: 0.8830, loss_aux2: 0.8484, loss_aux3: 0.8197
INFO logger.py(47): iter: 6000/150000, lr: 0.048488, eta: 3:35:08, time: 7.59, loss: 4.4146, loss_pre: 0.8504, loss_aux0: 0.9420, loss_aux1: 0.9031, loss_aux2: 0.8726, loss_aux3: 0.8465
INFO logger.py(47): iter: 6100/150000, lr: 0.048457, eta: 3:34:29, time: 7.68, loss: 4.3185, loss_pre: 0.8472, loss_aux0: 0.9117, loss_aux1: 0.8842, loss_aux2: 0.8514, loss_aux3: 0.8241
INFO logger.py(47): iter: 6200/150000, lr: 0.048427, eta: 3:33:49, time: 7.61, loss: 4.4155, loss_pre: 0.8679, loss_aux0: 0.9193, loss_aux1: 0.9009, loss_aux2: 0.8844, loss_aux3: 0.8430
INFO logger.py(47): iter: 6300/150000, lr: 0.048397, eta: 3:33:10, time: 7.62, loss: 4.1293, loss_pre: 0.8105, loss_aux0: 0.8827, loss_aux1: 0.8391, loss_aux2: 0.8073, loss_aux3: 0.7897
INFO logger.py(47): iter: 6400/150000, lr: 0.048366, eta: 3:32:31, time: 7.54, loss: 4.3285, loss_pre: 0.8475, loss_aux0: 0.9069, loss_aux1: 0.8827, loss_aux2: 0.8503, loss_aux3: 0.8411
INFO logger.py(47): iter: 6500/150000, lr: 0.048336, eta: 3:31:54, time: 7.60, loss: 4.3272, loss_pre: 0.8420, loss_aux0: 0.9200, loss_aux1: 0.8835, loss_aux2: 0.8579, loss_aux3: 0.8237
INFO logger.py(47): iter: 6600/150000, lr: 0.048306, eta: 3:31:19, time: 7.70, loss: 4.3252, loss_pre: 0.8212, loss_aux0: 0.9325, loss_aux1: 0.8852, loss_aux2: 0.8543, loss_aux3: 0.8319
INFO logger.py(47): iter: 6700/150000, lr: 0.048275, eta: 3:30:41, time: 7.48, loss: 4.3516, loss_pre: 0.8525, loss_aux0: 0.9099, loss_aux1: 0.8970, loss_aux2: 0.8585, loss_aux3: 0.8337
INFO logger.py(47): iter: 6800/150000, lr: 0.048245, eta: 3:30:05, time: 7.51, loss: 4.1581, loss_pre: 0.8105, loss_aux0: 0.8813, loss_aux1: 0.8601, loss_aux2: 0.8217, loss_aux3: 0.7844
INFO logger.py(47): iter: 6900/150000, lr: 0.048215, eta: 3:29:34, time: 7.74, loss: 4.2103, loss_pre: 0.8062, loss_aux0: 0.8998, loss_aux1: 0.8702, loss_aux2: 0.8338, loss_aux3: 0.8003
INFO logger.py(47): iter: 7000/150000, lr: 0.048185, eta: 3:29:01, time: 7.59, loss: 4.3122, loss_pre: 0.8446, loss_aux0: 0.8954, loss_aux1: 0.8876, loss_aux2: 0.8521, loss_aux3: 0.8325
